CHERN,YCHERN,password,SCSE,STUDENT,-
KOH,KOH1,password,ADM,STUDENT,-
BRANDON,BR015,password,EEE,STUDENT,-
CALVIN,CT113,password,SCSE,STUDENT,-
CHAN,YCN019,password,NBS,STUDENT,-
DENISE,DL007,password,SCSE,STUDENT,-
DONG,DON84,password,ADM,STUDENT,-
ERNEST,ELI34,password,EEE,STUDENT,-
LEE,LE51,password,SCSE,STUDENT,-
LIU,SL22,password,NBS,STUDENT,-
RAWAL,AKY013,password,SSS,STUDENT,-
JOHN,JON04,password,SCSE,STUDENT,-
AHMED,AMD45,password,SCSE,STUDENT,-
TIM,TIM31,password,SCSE,STUDENT,-
BALA,BLL09,password,SCSE,STUDENT,-
Madhukumar,HUKUMAR,password,SCSE,STAFF,-
Alexei,OURIN,password,ADM,STAFF,-
Chattopadhyay,UPAM,password,EEE,STAFF,-
Datta,ANWIT,password,SCSE,STAFF,-
Arvind,ARVI,password,NBS,STAFF,-
